Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
IndieBio,https://www.crunchbase.com/organization/synbio-axlr8r,"Biotechnology, Finance, Venture Capital","San Francisco, California, United States","IndieBio is the largest biotech startup accelerator, run by SOSV.",30,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2014-11-01,day,,,,,,http://www.indiebio.co,Accelerator,Seed,224,423,12,109,4,4,On-Site,2019-02-07,16,,,,,,,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering",3,"Arvind Gupta, Bill Liao, Sean O'Sullivan",1-10,1,,2018-07-19,25000000,USD,25000000,Grant,,,,,,,,25000000,USD,25000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,5
actyv.ai,https://www.crunchbase.com/organization/actyv,"Artificial Intelligence, B2B, FinTech, Information Technology, SaaS","Bengaluru, Karnataka, India","actyv.ai is an AI-powered enterprise SaaS platform with embedded B2B BNPL and insurance, transforming the global B2B supply chain eco system",31,Asia-Pacific (APAC),,,Active,2019-04-01,day,,,,,For Profit,https://www.actyv.ai/,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Other, Science and Engineering, Software",3,"Raghu Venkat, Raghunath Subramanian, Ramkumar Thirumurthi",101-250,2,Seed,2023-01-10,7000000,USD,7000000,Seed,7000000,USD,7000000,Seed,12000000,USD,12000000,12000000,USD,12000000,1Digi,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2023-01-03,,
Elemental Excelerator,https://www.crunchbase.com/organization/elemental-excelerator,"Agriculture, CleanTech, Energy Efficiency, Renewable Energy, Sustainability, Transportation, Venture Capital, Water","Honolulu, Hawaii, United States",Elemental is a non-profit investor focused on scaling climate solutions and social impact for all communities.,32,"Asia-Pacific (APAC), Western US","Women Founded, Women Led",$1M to $10M,Active,2012-01-01,year,,,,,,http://elementalexcelerator.com,"Accelerator, Venture Capital",Early Stage Venture,135,150,81,38,24,24,,,,,,,,,,"Agriculture and Farming, Energy, Financial Services, Lending and Investments, Natural Resources, Sustainability, Transportation",2,"Dawn Lippert, Jill Sims",11-50,4,,2022-05-10,32500000,USD,32500000,Grant,,,,,,,,93000000,USD,93000000,"Chan Zuckerberg Initiative, United States Navy, Office of Naval Research",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Razer,https://www.crunchbase.com/organization/razer,"Consumer Electronics, Gaming, iOS, Product Design, Software","San Francisco, California, United States","Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",33,"San Francisco Bay Area, West Coast, Western US",,$100M to $500M,Active,2005-06-27,day,2017-11-13,day,,,For Profit,https://www.razer.com,,,9,10,5,,2,2,,,,,,,,,,"Consumer Electronics, Design, Gaming, Hardware, Mobile, Platforms, Software",2,"Min-Liang Tan, Robert Krakoff",1001-5000,4,IPO,2017-05-15,75000000,USD,75000000,Venture - Series Unknown,75000000,USD,75000000,Venture - Series Unknown,200000000,USD,200000000,200000000,USD,200000000,"Accel, Horizons Ventures, Intel Capital, IDG Capital, Lianluo",5,5,6,Made Acquisitions,,,,,,,,,,,,Public,2017-11-13,,,500000000,USD,500000000,4400000000,USD,4400000000,1337,https://www.crunchbase.com/ipo/razer-ipo--75f81d35,HKG - Hong Kong Stock Exchange,2020-01-02,,8
Google,https://www.crunchbase.com/organization/google,"Advertising, Collaboration, Enterprise Software, Information Technology, Search Engine","Mountain View, California, United States",Google is a multinational corporation that specializes in Internet-related services and products.,34,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,1998-01-01,year,2004-08-19,day,,,For Profit,https://www.google.com,,,175,201,89,22,44,44,,,,,,,,4,4,"Advertising, Information Technology, Internet Services, Other, Sales and Marketing, Software",2,"Larry Page, Sergey Brin",10001+,4,IPO,2000-01-01,1000,USD,1000,Seed,1000,USD,1000,Seed,26101000,USD,26101000,26101000,USD,26101000,"Sequoia Capital, Kleiner Perkins, Ram Shriram, Jeff Bezos, Shaquille O'Neal",3,12,258,Made Acquisitions,,,,,,,,,,,,Public,2004-08-19,,,1666429420,USD,1666429420,23053669655,USD,23053669655,GOOG,https://www.crunchbase.com/ipo/google-ipo--bee91e2e,NASDAQ,2022-09-07,2020-08-21,454
Bitcoin,https://www.crunchbase.com/organization/bitcoin-llc,"Bitcoin, Communications Infrastructure, Hardware, Media and Entertainment","San Francisco, California, United States",Bitcoin is a cryptocurrency company.,35,"San Francisco Bay Area, West Coast, Western US",,Less than $1M,Active,2017-01-01,year,,,,,For Profit,https://bitcoin.team,,,,,,,,,,,,,,,,,,"Financial Services, Hardware, Media and Entertainment, Payments, Software",1,Andrew DeSantis,,3,,2020-11-30,14086804,USD,14086804,Undisclosed,14086804,USD,14086804,Undisclosed,14208804,USD,14208804,14208804,USD,14208804,"Ed King, Larry Zhao, Kadda Sheekoff",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
InstaDeep,https://www.crunchbase.com/organization/instadeep,"Artificial Intelligence, Information Technology","London, England, United Kingdom","InstaDeep delivers AI-powered decision-making systems for the Enterprise, to solve complex industrial problems.",36,,,Less than $1M,Active,2015-10-08,day,2023-01-10,day,,,For Profit,http://www.instadeep.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",2,"Karim Beguir, Zohra Slim",101-250,4,M&A,2022-01-25,100000000,USD,100000000,Series B,100000000,USD,100000000,Series B,107000000,USD,107000000,107000000,USD,107000000,"Google, BioNTech, G42, Plug and Play, Bossanova Investimentos",3,13,,Was Acquired,InstaDeep acquired by BioNTech,https://www.crunchbase.com/acquisition/biontech-ag-acquires-instadeep--2a28c16c,BioNTech,https://www.crunchbase.com/organization/biontech-ag,2023-01-10,day,562000000,GBP,683276859,Acquisition,Cash,Private,,,,,,,,,,,,,,,3
Voyager,https://www.crunchbase.com/organization/voyager-8d36,"Cryptocurrency, Finance, Financial Services, FinTech, Information Technology","Wilmington, Delaware, United States",Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,37,"Greater Philadelphia Area, East Coast, Southern US",,Less than $1M,Active,2017-01-01,year,2019-02-11,day,,,For Profit,https://www.investvoyager.com,,,5,5,1,,1,1,,,,,,,,,,"Financial Services, Information Technology, Payments, Software",4,"Gaspard de Dreuzy, Oscar Salazar, Philip Eytan, Stephen Ehrlich",101-250,8,M&A,2022-06-17,200000000,USD,200000000,Post-IPO Debt,60000000,USD,60000000,Post-IPO Equity,235110546,USD,235110546,510110546,USD,510110546,"Digital Currency Group, Blockdaemon, Galaxy Digital, Moving Capital, Alameda Research",2,7,3,"Made Acquisitions, Was Acquired",Voyager acquired by Binance.US,https://www.crunchbase.com/acquisition/binance-us-acquires-voyager-8d36--001c932e,Binance.US,https://www.crunchbase.com/organization/binance-us,2022-12-19,day,1022000000,USD,1022000000,Acquisition,,Public,2019-02-11,,,,,,100000000,USD,100000000,VYGR,https://www.crunchbase.com/ipo/voyager-8d36-ipo--7b478e25,CNSX - Canadian National Stock Exchange,2022-09-23,,
Money View,https://www.crunchbase.com/organization/money-view,"Finance, Financial Services, FinTech, Lending, Personal Finance","Bangalore, Karnataka, India",Money View provides a credit platform that offers loans and financial management tools.,39,Asia-Pacific (APAC),,Less than $1M,Active,2014-04-01,day,,,,,For Profit,https://moneyview.in,,,,,,,,,,,,,,,,,,Financial Services,2,"Puneet Agarwal, Sanjay Aggarwal",101-250,6,Late Stage Venture,2022-12-26,75000000,USD,75000000,Series E,75000000,USD,75000000,Series E,183701702,USD,183701702,183701702,USD,183701702,"Accel, Tiger Global Management, Winter Capital, South Park Commons, Ribbit Capital",6,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
GitHub,https://www.crunchbase.com/organization/github,"Cloud Computing, Developer Tools, Internet, Project Management, Software","San Francisco, California, United States",GitHub provides code hosting services that allow developers to build software for open-source and private projects in organizations.,40,"San Francisco Bay Area, West Coast, Western US",,$100M to $500M,Active,2008-02-29,day,2018-06-03,day,,,For Profit,https://github.com,,,4,4,,1,,,,,,,,,,,,"Administrative Services, Internet Services, Other, Software",4,"Chris Wanstrath, PJ Hyett, Scott Chacon, Tom Preston-Werner",1001-5000,5,M&A,2016-07-28,,,,Series B,,,,Series B,350000000,USD,350000000,350000000,USD,350000000,"Andreessen Horowitz, Sequoia Capital, EquityZen, IVP, SV Angel",2,7,8,"Made Acquisitions, Was Acquired",GitHub acquired by Microsoft,https://www.crunchbase.com/acquisition/microsoft-acquires-github--2c0c79f2,Microsoft,https://www.crunchbase.com/organization/microsoft,2018-06-03,day,7500000000,USD,7500000000,Acquisition,Stock,Private,,,,,,,,,,,,,2022-02-22,,110
Yuga Labs,https://www.crunchbase.com/organization/yuga-labs,"Blockchain, Cryptocurrency, Digital Media, Ethereum","Miami, Florida, United States",Yuga Labs is a blockchain technology company that develops NFTs and digital collectibles.,40,"Greater Miami Area, East Coast, Southern US",,$100M to $500M,Active,2021-01-01,year,,,,,For Profit,https://yuga.com,,,,,,,,,,,,,,,,,,"Financial Services, Media and Entertainment, Other, Payments, Software",2,"Greg Solano, Wylie Aronow",101-250,1,Seed,2022-03-22,450000000,USD,450000000,Seed,450000000,USD,450000000,Seed,450000000,USD,450000000,450000000,USD,450000000,"FTX Ventures, Animoca Brands, MoonPay, Coinbase, LionTree",1,40,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-12-19,,
Superscript,https://www.crunchbase.com/organization/superscript,"Commercial Insurance, Cyber Security, Insurance, InsurTech","London, England, United Kingdom",Superscript provides business insurance designed specifically to meet the fast-changing needs of small businesses.,41,,,,Closed,2015-01-01,year,,,,none,For Profit,https://gosuperscript.com,,,,,,,,,,,,,,,,,,"Financial Services, Information Technology, Privacy and Security",3,"Annabel Mekelenkamp, Ben Rose, Cameron Shearer",51-100,6,Early Stage Venture,2023-01-09,45000000,GBP,54696017,Series B,45000000,GBP,54696017,Series B,79065751,USD,79065751,79065751,USD,79065751,"Seedcamp, Beazley, Systema, Concentric, The Hartford",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Mondu,https://www.crunchbase.com/organization/mondu,"B2B, Financial Services, FinTech, Payments","Berlin, Berlin, Germany",Mondu enables merchants and marketplaces to offer their business customers the most popular B2B payment methods.,41,European Union (EU),,,Active,2021-10-01,month,,,,,For Profit,https://www.mondu.ai,,,,,,,,,,,,,,,,,,"Financial Services, Other, Payments",3,"Gil Danziger, Malte Huffmann, Philipp Povel",51-100,5,Early Stage Venture,2023-01-13,11900000,EUR,12907340,Series A,11900000,EUR,12907340,Series A,69803277,USD,69803277,89338037,USD,89338037,"Cherry Ventures, FinTech Collective, Valar Ventures, Discovery Ventures, Vereinigte Volksbank Raiffeisenbank",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-09-05,,
Vodafone,https://www.crunchbase.com/organization/vodafone,"Information Technology, Messaging, Telecommunications","Newbury, West Berkshire, United Kingdom","Vodafone is a mobile telecommunications company that offers voice, messaging, and cellular data services.",43,,,$10B+,Active,1982-01-01,year,1988-11-25,day,,,For Profit,http://vodafone.com,,,24,25,13,1,7,7,,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications",2,"Ernest Harrison, Gerry Whent",10001+,3,IPO,2022-12-07,,,,Post-IPO Equity,,,,Post-IPO Equity,5247638881,USD,5247638881,5247638881,USD,5247638881,"e&, Atlas Investissement",2,2,34,Made Acquisitions,,,,,,,,,,,,Public,1988-11-25,,,,,,,,,VOD,https://www.crunchbase.com/ipo/vodafone-ipo--40d9ff78,LSE - London Stock Exchange,2023-01-06,2023-01-13,55
Medium,https://www.crunchbase.com/organization/medium,"Internet, News, Publishing, Tour Operator, Tourism","San Francisco, California, United States",Medium is a social publishing network that connects ideas and perspectives on topics that matter.,44,"San Francisco Bay Area, West Coast, Western US",,$10M to $50M,Active,2011-07-18,day,,,,,For Profit,https://medium.com,,,,,,,,,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Travel and Tourism",4,"Alex Vikati, Biz Stone, Edwin Ong, Jason Goldman",101-250,4,,2021-11-18,30967569,USD,30967569,Venture - Series Unknown,30967569,USD,30967569,Venture - Series Unknown,162967569,USD,162967569,162967569,USD,162967569,"Andreessen Horowitz, Science, Betaworks, GV, LAUNCH",3,20,8,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Lenovo,https://www.crunchbase.com/organization/lenovo,"Computer, Electronics, Hardware, Mobile","Beijing, Beijing, China","Lenovo Group is a computer technology company that manufactures personal computers, smartphones, televisions, and wearable devices.",45,Asia-Pacific (APAC),,$10B+,Active,1984-01-01,year,2000-05-17,day,,,For Profit,http://www.lenovo.com,,,30,31,8,1,2,2,,,,,,,,,,"Consumer Electronics, Hardware, Mobile",1,Chuanzhi Liu,10001+,3,IPO,2017-10-03,500000000,USD,500000000,Post-IPO Equity,500000000,USD,500000000,Post-IPO Equity,850025000,USD,850025000,850025000,USD,850025000,"TPG, General Atlantic, Legend Holdings, The Parent Company, Chinese Academy Of Sciences",,6,8,Made Acquisitions,,,,,,,,,,,,Public,2000-05-17,,,,,,,,,0992,https://www.crunchbase.com/ipo/lenovo-ipo--b5098ecb,HKG - Hong Kong Stock Exchange,2022-04-14,2020-04-23,145
Teamworks,https://www.crunchbase.com/organization/teamworks,"Information Services, Information Technology, Software, Sports, Training","Durham, North Carolina, United States",Teamworks is a communication and operations platform for athletic organizations.,47,"Research Triangle, East Coast, Southern US",,$1M to $10M,Active,2004-01-01,year,,,,,For Profit,http://www.teamworks.com,,,,,,,,,,,,,,,,,,"Education, Information Technology, Software, Sports",3,"Mitch Heath, Shaun Powell, Zachary Maurides",101-250,4,Late Stage Venture,2022-06-14,50000000,USD,50000000,Series D,50000000,USD,50000000,Series D,103315018,USD,103315018,103315018,USD,103315018,"General Catalyst, Circle Ventures, Blossom Street Ventures, Stadia Ventures, Delta-v Capital",3,16,5,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
Cyble,https://www.crunchbase.com/organization/cyble,"Artificial Intelligence, Cloud Security, Cyber Security, Risk Management","Alpharetta, Georgia, United States",World's fastest-growing threat intelligence provider (YC W21).,48,"Greater Atlanta Area, East Coast, Southern US",,Less than $1M,Active,2019-01-01,year,,,,,For Profit,https://cyble.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software",2,"Beenu Arora, Manish Chachada",101-250,9,Early Stage Venture,2022-02-22,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,14607000,USD,14607000,14607000,USD,14607000,"Y Combinator, Blackbird Ventures, VentureSouq, Singtel Innov8, Spider Capital",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-06-18,,
Ring,https://www.crunchbase.com/organization/ring,"Consumer Electronics, Security, Smart Home","Santa Monica, California, United States",Ring is an outdoor home security that provides homeowners a line of preventative security doorbells and cameras.,49,"Greater Los Angeles Area, West Coast, Western US",,$100M to $500M,Active,2012-01-01,year,2018-02-27,day,,,For Profit,https://ring.com/,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Privacy and Security, Real Estate",1,James Siminoff,1001-5000,5,M&A,2017-01-25,109000000,USD,109000000,Series D,109000000,USD,109000000,Series D,203700000,USD,203700000,203700000,USD,203700000,"M13, Qualcomm Ventures, Upfront Ventures, DFJ Growth, Felicis Ventures",8,23,1,"Made Acquisitions, Was Acquired",Ring acquired by Amazon,https://www.crunchbase.com/acquisition/amazon-acquires-ring--f857f57e,Amazon,https://www.crunchbase.com/organization/amazon,2018-02-27,day,1000000000,USD,1000000000,Acquisition,,Private,,,,,,,,,,,,,,,7
Fungible,https://www.crunchbase.com/organization/fungible-inc,"Computer, Data Center, Hardware, Software","Santa Clara, California, United States",Fungible creates hardware and software platforms for data centers.,50,"San Francisco Bay Area, Silicon Valley, West Coast",,$1M to $10M,Active,2015-01-01,year,2022-12-15,day,,,For Profit,http://www.fungible.com/,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Software",3,"Bertrand Serlet, Krishna Yarlagadda, Pradeep Sindhu",101-250,6,M&A,2019-06-27,200000000,USD,200000000,Series C,200000000,USD,200000000,Series C,310929998,USD,310929998,310929998,USD,310929998,"Norwest Venture Partners, SoftBank Vision Fund, Celesta Capital, Battery Ventures, Samsung Catalyst Fund",5,8,1,"Made Acquisitions, Was Acquired",Fungible acquired by Microsoft,https://www.crunchbase.com/acquisition/microsoft-acquires-fungible-inc--4fa8d4b1,Microsoft,https://www.crunchbase.com/organization/microsoft,2022-12-15,day,190000000,USD,190000000,Acquisition,,Private,,,,,,,,,,,,,,2022-08-30,
Comcast,https://www.crunchbase.com/organization/comcast,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States",Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,51,"Greater Philadelphia Area, Great Lakes, Northeastern US",,$10B+,Active,1963-06-28,day,1978-01-13,day,,,For Profit,http://corporate.comcast.com,,,24,29,11,5,5,5,,,,,,,,,,"Hardware, Internet Services, Media and Entertainment, Video",5,"Daniel Aaron, Diane Yu, Jan Renner, Julian Brodsky, Ralph J. Roberts",10001+,4,IPO,2022-07-11,7741401,USD,7741401,Grant,870000000,USD,870000000,Post-IPO Equity,870000000,USD,870000000,4910841401,USD,4910841401,"Trian Fund Management, Connect Maryland",2,2,38,Made Acquisitions,,,,,,,,,,,,Public,1978-01-13,,,,,,,,,CMCSA,https://www.crunchbase.com/ipo/comcast-ipo--e63fec37,NASDAQ,2023-01-06,2022-10-16,36
Sense,https://www.crunchbase.com/organization/sense,"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition","Cambridge, Massachusetts, United States",Sense specializes in tracking devices and home automation solutions for its customers.,52,"Greater Boston Area, East Coast, New England",,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://sense.com/,,,,,,,,,,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Internet Services, Real Estate, Software, Sustainability",3,"Christopher Micali, Mike Phillips, Ryan Houlette",251-500,6,Late Stage Venture,2022-04-27,127600000,USD,127600000,Series C,127600000,USD,127600000,Series C,174599998,USD,174599998,174599998,USD,174599998,"Schneider Electric, Energy Impact Partners, Bolt, SE Ventures, My Climate Journey Collective",6,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-09-29,,1
